,Week,Name1,Score1,Name2,Score2,Type
496,14,Team RW,0.0,Team TP,0.0,Playoff
497,1,Team WR,95.32,Team GM,133.84,Regular
498,1,Team TP,99.76,Team BL,86.8,Regular
499,1,Team DH,82.16,Team RW,65.44,Regular
500,1,Team Caleb,78.68,Team BD,104.56,Regular
501,1,Team WN,69.64,Team JN,123.64,Regular
502,2,Team TP,148.76,Team WR,138.86,Regular
503,2,Team GM,108.0,Team DH,110.98,Regular
504,2,Team BL,102.42,Team Caleb,99.48,Regular
505,2,Team RW,84.76,Team WN,85.04,Regular
506,2,Team BD,89.4,Team JN,95.24,Regular
507,3,Team WR,124.52,Team DH,124.98,Regular
508,3,Team Caleb,128.06,Team TP,101.48,Regular
509,3,Team WN,149.96,Team GM,139.18,Regular
510,3,Team JN,101.96,Team BL,67.68,Regular
511,3,Team BD,106.8,Team RW,93.92,Regular
512,4,Team Caleb,142.7,Team WR,83.28,Regular
513,4,Team DH,137.24,Team WN,81.38,Regular
514,4,Team TP,63.64,Team JN,131.9,Regular
515,4,Team GM,104.82,Team BD,113.88,Regular
516,4,Team BL,150.06,Team RW,94.8,Regular
517,5,Team WR,103.92,Team WN,69.24,Regular
518,5,Team JN,99.48,Team Caleb,97.22,Regular
519,5,Team BD,111.48,Team DH,102.84,Regular
520,5,Team RW,176.06,Team TP,56.76,Regular
521,5,Team BL,116.32,Team GM,163.34,Regular
522,6,Team JN,78.22,Team WR,102.58,Regular
523,6,Team WN,121.34,Team BD,119.78,Regular
524,6,Team Caleb,112.4,Team RW,78.56,Regular
525,6,Team DH,96.62,Team BL,113.6,Regular
526,6,Team TP,97.24,Team GM,101.54,Regular
